                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.86189,                0.48092,                 1.0709,                0.97595,                0.97713,                0.98555,                0.70329,                 1.1303,                0.44251,                 1.3865,              0.0002308,              0.0002308,              0.0002308
                     96,                0.85825,                0.48126,                 1.0622,                0.97776,                0.98107,                0.98583,                0.71416,                 1.1219,                0.44295,                 1.4018,              0.0002297,              0.0002297,              0.0002297
                     97,                0.86498,                0.47932,                 1.0686,                0.97965,                0.97645,                0.98408,                0.70498,                 1.1379,                0.43827,                 1.3984,              0.0002286,              0.0002286,              0.0002286
                     98,                0.85727,                0.47503,                 1.0656,                0.97817,                0.97848,                0.98574,                0.70471,                 1.1302,                0.44001,                 1.3899,             0.00022751,             0.00022751,             0.00022751
                     99,                0.85731,                0.46905,                 1.0642,                0.97152,                 0.9796,                0.98544,                0.71557,                 1.1274,                0.43865,                 1.3925,             0.00022641,             0.00022641,             0.00022641
                    100,                0.87199,                0.48881,                 1.0651,                0.97681,                0.98023,                0.98301,                0.70994,                 1.1161,                0.43088,                 1.3821,             0.00022531,             0.00022531,             0.00022531
                    101,                0.85576,                0.47917,                 1.0609,                0.97661,                0.97447,                0.98582,                0.71345,                  1.122,                0.44014,                 1.4181,             0.00022421,             0.00022421,             0.00022421
                    102,                0.83491,                0.47596,                 1.0547,                 0.9849,                0.97661,                0.98838,                0.70854,                 1.1335,                0.43893,                 1.3946,             0.00022311,             0.00022311,             0.00022311
                    103,                0.84055,                0.47478,                 1.0545,                0.97939,                0.98269,                0.98614,                0.70661,                 1.1227,                0.43925,                 1.3998,             0.00022201,             0.00022201,             0.00022201
                    104,                0.83398,                0.46583,                 1.0519,                0.97874,                0.97735,                0.98323,                 0.7089,                 1.1194,                0.43852,                 1.3867,             0.00022091,             0.00022091,             0.00022091
                    105,                0.83957,                0.47528,                 1.0566,                0.97832,                0.98342,                0.98762,                0.70715,                 1.1341,                0.43176,                  1.409,             0.00021981,             0.00021981,             0.00021981
                    106,                0.83734,                0.47054,                 1.0577,                0.98166,                0.98044,                0.98847,                0.70497,                 1.1453,                0.43323,                 1.4099,             0.00021871,             0.00021871,             0.00021871
